symbol,total_market_cap_cr,price_band,last_updated
360ONE.NS,44497.4,No Band,2026-08-21
3BBLACKBIO.NS,,20,2026-08-21
3PLAND.NS,,20,2026-08-21
ABINFRA.NS,651.57,5,2026-08-21
ABLBL.NS,11394.52,20,2026-08-21
AGUL.NS,34.49,5,2026-08-21
AKCAPIT.NS,,20,2026-08-21
A2ZINFRA.NS,222.97,5,2026-08-21
AAATECH.NS,116.19,20,2026-08-21
AAKASH.NS,92.04,20,2026-08-21
AAREYDRUGS.NS,215.44,5,2026-08-21
AARNAV.NS,,5,2026-08-21
AARON.NS,246.08,20,2026-08-21
AARTIPHARM.NS,6100.03,20,2026-08-21
AATMAJ.NS,60.45,20,2026-08-21
ABCOTS.NS,448.39,20,2026-08-21
ABAN.NS,87.37,2,2026-08-21
ABANSENT.NS,,5,2026-08-21
ABMKNO.NS,,20,2026-08-21
ABSMARINE.NS,807.7,5,2026-08-21
ACCURACY.NS,75.43,5,2026-08-21
ACEINTEG.NS,19.54,20,2026-08-21
ACSTECH.NS,,10,2026-08-21
ADANIGREEN.NS,242513.75,No Band,2026-08-21
ADANIPOWER.NS,418381.45,No Band,2026-08-21
ATGL.NS,74963.05,20,2026-08-21
BIRLAMONEY.NS,761.8,20,2026-08-21
ABSLAMC.NS,29010.26,20,2026-08-21
ABFRL.NS,6941.71,20,2026-08-21
CPPLUS.NS,40614.81,5,2026-08-21
ADVAIT.NS,2511.3,20,2026-08-21
ADVANCE.NS,718.52,20,2026-08-21
ADVENZYMES.NS,3505.41,20,2026-08-21
ADVANIHOTR.NS,482.25,20,2026-08-21
ADVENTHTL.NS,777.37,20,2026-08-21
AEQUS.NS,15241.08,20,2026-08-21
AEROFLEX.NS,5387.19,10,2026-08-21
AERONEU.NS,221.77,20,2026-08-21
AFCONS.NS,10663.92,20,2026-08-21
AGARIND.NS,719.1,20,2026-08-21
AGIIL.NS,4035.54,20,2026-08-21
AGNI.NS,101.19,5,2026-08-21
AGRITECH.NS,65.54,5,2026-08-21
AGROPHOS.NS,59.73,20,2026-08-21
AGSTRA.NS,28.31,5,2026-08-21
AHLADA.NS,49.2,20,2026-08-21
AHLUCONT.NS,5512.74,20,2026-08-21
AIRAN.NS,190.28,20,2026-08-21
AJMERA.NS,2446.17,20,2026-08-21
AKASH.NS,45.44,20,2026-08-21
AKG.NS,29.9,20,2026-08-21
AKI.NS,46.44,20,2026-08-21
AFIL.NS,413.8,20,2026-08-21
AKSHOPTFBR.NS,93.88,5,2026-08-21
AKSHAR.NS,33.07,20,2026-08-21
ALANKIT.NS,215.03,20,2026-08-21
ALBERTDAVD.NS,392.37,20,2026-08-21
ALEMBICLTD.NS,2274.83,20,2026-08-21
ALGOQUANT.NS,1878.28,20,2026-08-21
ALICON.NS,1058.38,20,2026-08-21
ALKALI.NS,79.76,5,2026-08-21
ALLETEC.NS,695.18,5,2026-08-21
ALLTIME.NS,1516.05,20,2026-08-21
ALLCARGO.NS,1205.71,20,2026-08-21
ATL.NS,677.99,20,2026-08-21
ADSL.NS,661.9,20,2026-08-21
ALMONDZ.NS,227.37,20,2026-08-21
ALOKINDS.NS,5978.15,20,2026-08-21
ALPA.NS,140.17,20,2026-08-21
ALPEXSOLAR.NS,2053.2,20,2026-08-21
ALPHAGEO.NS,126.18,5,2026-08-21
ALUWIND.NS,156.29,20,2026-08-21
AMAGI.NS,13236.7,20,2026-08-21
AMANTA.NS,648.45,5,2026-08-21
AMBALALSA.NS,238.02,5,2026-08-21
AMBER.NS,26376.76,No Band,2026-08-21
AMEYA.NS,90.86,5,2026-08-21
AMIABLE.NS,13.46,20,2026-08-21
AMNPLST.NS,1068.6,20,2026-08-21
AMJLAND.NS,151.66,20,2026-08-21
AMRUTANJAN.NS,1529.1,20,2026-08-21
ARSSBL.NS,3264.32,20,2026-08-21
ACL.NS,448.88,20,2026-08-21
ANDHRAPAP.NS,1200.46,20,2026-08-21
ANDHRSUGAR.NS,1140.26,20,2026-08-21
ANGELONE.NS,28538.33,No Band,2026-08-21
ANIKINDS.NS,116.48,20,2026-08-21
APCL.NS,307.97,20,2026-08-21
ANKITMETAL.NS,20.6,5,2026-08-21
AHCL.NS,790.36,20,2026-08-21
ANLON.NS,316.52,10,2026-08-21
ANMOL.NS,57.43,20,2026-08-21
ANNAPURNA.NS,529.99,20,2026-08-21
ANSALAPI.NS,46.12,2,2026-08-21
ANTGRAPHIC.NS,11.63,20,2026-08-21
ANTHEM.NS,43751.89,20,2026-08-21
AWHCL.NS,1241.83,20,2026-08-21
ANURAS.NS,14244.7,20,2026-08-21
APARINDS.NS,54757.48,20,2026-08-21
APEX.NS,1225.47,20,2026-08-21
APLAPOLLO.NS,50614.35,No Band,2026-08-21
APOLLOPIPE.NS,2155.56,20,2026-08-21
APOLSINHOT.NS,311.16,20,2026-08-21
APTECHT.NS,534.03,5,2026-08-21
AQYLON.NS,737.59,5,2026-08-21
ARABIAN.NS,89.91,20,2026-08-21
ARCHIDPLY.NS,157.86,20,2026-08-21
ARCHIES.NS,46.52,20,2026-08-21
ARFIN.NS,1494.88,20,2026-08-21
ARIES.NS,442.15,20,2026-08-21
ARIHANT.NS,986.15,20,2026-08-21
AROGRANITE.NS,37.85,20,2026-08-21
ARSHIYA.NS,25.82,5,2026-08-21
ARTNIRMAN.NS,96.95,20,2026-08-21
AEPL.NS,375.8,20,2026-08-21
ARVEE.NS,171.01,20,2026-08-21
